country,date,Gross Domestic Product (GDP),Gross National Income (GNI),Inflation rate,Unemployment rate,Poverty rate,Life expectancy,Literacy rate,Access to electricity,Mobile phone subscriptions,Government expenditure on education,Foreign direct investment (FDI),Exports of goods and services,Imports of goods and services,Gross capital formation,Agricultural land area,Agricultural production index
Argentina,2020,385740508436.965,375344057341.93,,11.46,42.0,75.892,,100.0,121.6001889,12.4222898483276,1.26616924308721,16.6054144372484,13.5982843701675,14.4151557410245,43.0292651706989,108.57
Argentina,2019,447754683615.225,430166792070.565,,9.84,35.5,77.284,,100.0,125.9409814,12.5300703048706,1.48500687570697,17.9248783778462,14.7057366680037,14.2100303992191,42.5907792625398,112.42
Argentina,2018,524819892360.176,506094045059.703,,9.22,32.0,76.999,,99.9937362670898,131.9371685,12.5233402252197,2.23253157689253,14.4366857499034,16.3258502050892,16.6138850156371,42.3715363084602,97.51
Argentina,2017,643628393281.364,627200463933.824,,8.35,25.7,76.833,,100.0,140.5014607,13.2639198303223,1.78936504083807,11.3202833596733,13.9693177780045,18.2125671747754,42.9863813585024,105.91
Argentina,2016,557532320662.955,545251641127.714,,8.085,30.3,76.308,,99.8997421264648,145.9179567,13.3555402755737,0.584748941173009,12.5270951690009,13.5667926798789,17.6632278606203,43.4794953027197,100.95
Argentina,2015,594749285413.212,583615452086.538,,7.583,,76.76,,99.6890335083008,142.9639551,13.9633102416992,1.97713461784426,10.7056520504538,11.7805740385254,17.0707048841583,44.1187712163234,103.91
Australia,2020,1330381544909.3,1300336316181.45,0.846905537459305,6.46,,83.2,,100.0,105.231579,14.4562530517578,1.19074395815641,23.9673727374511,20.1756728566692,22.2652648042576,46.2524798427461,87.12
Australia,2019,1394671325960.57,1347797789886.92,1.61076787290379,5.16,,82.9,,100.0,110.29622,15.2933683395386,2.77808318991818,24.1117883614814,21.6371749941796,23.2610374545779,47.1237724290889,92.46
Australia,2018,1429733668185.91,1384664217282.11,1.91140094445691,5.3,,82.7487804878049,,100.0,110.6519296,15.1084365844727,4.24461148816089,21.853558200255,21.4935202935385,24.5339187044057,46.6580950127535,98.31
Australia,2017,1326882104817.0,1290533798811.27,1.94864740944527,5.59,,82.5,,100.0,108.4165835,14.8495864868164,3.63252860709497,21.228525081023,20.7136840406098,24.0999375915807,48.3406179391109,108.12
Australia,2016,1207580901578.72,1178939238648.74,1.27699094497324,5.71,,82.4487804878049,,100.0,109.7343698,14.8905534744263,3.55837243877673,19.2622259086547,21.5324159581804,25.395072504304,44.5399257932247,97.98
